CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Monday 21 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),24,27,14,11,7,21,69,118,269,437,685,1066,1512,1774,1715,1572,1562,1344,965,532,374,183,127,76
Bourke Street Mall (South),15,12,4,7,7,11,45,94,165,228,388,735,951,1018,884,815,770,631,308,152,138,72,45,25
Melbourne Central,77,55,20,13,23,17,52,75,117,184,244,393,592,563,645,651,565,646,681,489,418,330,223,122
Town Hall (West),71,25,23,21,18,36,107,228,454,630,813,1148,1580,1720,1609,1493,1449,1281,962,610,434,269,191,90
Princes Bridge,58,35,23,42,54,77,171,430,684,452,547,615,757,865,864,834,978,1062,761,416,405,294,198,100
Flinders Street Station Underpass,74,27,51,6,21,100,286,476,920,555,462,458,673,758,725,775,903,1236,812,467,343,343,257,144
Birrarung Marr,3,5,9,4,5,19,63,131,258,99,103,132,154,175,189,139,193,297,172,79,53,26,13,10
Webb Bridge,2,2,4,N/A,N/A,8,38,142,196,155,148,161,247,220,199,261,276,346,170,98,83,43,26,8
Southern Cross Station,9,5,1,N/A,3,20,89,245,437,203,122,134,213,197,154,199,347,434,185,66,38,27,55,19
Victoria Point,11,4,2,N/A,2,1,18,69,79,58,92,84,86,91,67,56,92,92,69,50,41,52,16,11
Waterfront City,3,2,N/A,5,4,4,7,36,35,39,29,39,57,53,40,46,52,87,78,45,44,35,24,8
New Quay,14,5,3,4,7,7,36,107,112,105,94,121,181,193,171,184,208,305,246,198,162,113,75,25
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,23,8,8,3,7,35,98,208,320,196,166,218,255,298,239,309,293,469,311,152,103,78,85,40
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),6,7,1,9,2,26,81,165,403,464,541,646,930,828,859,800,704,447,230,122,99,76,62,34
Collins Place (South),3,2,3,7,9,35,113,226,495,356,294,345,523,499,378,315,253,425,189,91,81,40,59,22
Collins Place (North),3,3,N/A,7,2,21,41,170,378,250,226,231,262,276,250,246,294,396,155,54,32,31,21,9
Chinatown-Swanston St (North),71,32,16,16,7,5,15,29,52,57,144,228,362,440,463,370,366,518,569,529,348,273,185,94
Chinatown-Lt Bourke St (South),23,17,6,7,3,8,5,25,49,43,78,160,244,239,217,139,135,166,220,184,159,98,92,45
Bourke St-Russell St (West),47,58,19,17,4,30,37,82,158,149,195,270,556,568,479,468,425,528,485,380,349,251,184,72
Flinders St-Elizabeth St (East),82,51,50,42,52,75,305,520,1030,899,902,1089,1327,1473,1367,1493,1687,1834,1520,962,782,640,405,241
Spencer St-Collins St (South),14,6,2,5,6,25,89,164,382,181,143,184,287,263,181,155,275,320,186,134,108,68,50,26
Spencer St-Collins St (North),69,25,28,16,24,140,305,523,1033,643,531,438,685,703,641,800,1011,1343,775,406,331,253,221,89
Melbourne Convention Exhibition Centre,30,24,10,25,58,112,253,476,753,601,461,677,852,891,991,949,920,962,601,254,162,146,133,104
QV Market-Elizabeth St (West),60,31,30,30,16,31,75,108,215,239,302,378,608,554,383,347,295,346,308,245,217,176,116,90
QV Market-Peel St,3,4,6,1,3,5,18,44,69,48,74,113,102,143,113,115,103,115,104,58,74,50,16,18
The Arts Centre,23,19,15,29,58,69,159,410,641,333,402,476,612,549,523,505,622,815,480,262,219,162,129,46
St Kilda Rd-Alexandra Gardens,5,9,1,2,3,11,24,44,111,65,90,100,128,185,189,151,147,154,109,75,46,33,18,9
Lonsdale St (South),78,50,19,24,10,21,50,63,112,129,140,180,340,364,321,276,230,307,389,306,285,209,146,90
Lygon St (West),42,56,36,58,17,3,18,52,98,97,178,166,211,224,194,131,120,148,180,183,162,141,81,40
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
