CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Tuesday 22 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),26,15,9,5,5,18,78,132,372,512,696,1139,1696,1927,1777,1722,1570,1373,1045,527,309,260,119,77
Bourke Street Mall (South),19,13,8,7,10,16,37,92,172,226,443,565,857,968,823,790,738,627,402,170,120,91,50,30
Melbourne Central,48,47,31,7,12,18,42,88,143,165,264,394,587,692,732,616,567,679,675,580,468,361,369,124
Town Hall (West),56,23,9,10,22,40,119,258,464,579,874,1216,1620,1830,1653,1577,1467,1373,1078,631,480,428,205,117
Princes Bridge,46,31,27,34,61,98,213,474,656,512,488,608,788,849,819,814,944,1127,764,479,466,407,242,133
Flinders Street Station Underpass,42,10,7,30,19,89,323,583,1056,625,420,514,746,757,792,724,924,1324,913,526,439,402,260,172
Birrarung Marr,1,1,4,1,4,28,78,225,258,132,120,172,152,194,119,144,194,282,186,107,46,39,25,7
Webb Bridge,1,1,N/A,1,2,10,40,157,235,167,149,181,197,198,188,217,227,280,194,130,73,61,41,13
Southern Cross Station,6,2,N/A,4,3,15,100,246,478,245,124,131,239,199,209,196,413,460,206,99,64,27,49,22
Victoria Point,N/A,4,5,1,3,11,25,68,75,70,57,48,59,58,52,69,66,111,108,60,24,39,21,6
Waterfront City,2,N/A,4,N/A,N/A,5,10,31,32,19,26,39,48,51,43,39,72,82,95,71,64,40,28,12
New Quay,7,4,7,1,2,15,37,99,152,88,102,168,203,204,147,189,204,276,265,231,196,111,79,38
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,26,6,1,4,6,37,105,244,367,224,134,203,191,257,236,285,312,491,324,175,145,128,93,80
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),25,6,11,13,4,22,94,180,388,446,635,773,897,1123,904,733,637,559,324,154,100,94,56,32
Collins Place (South),7,3,1,8,1,45,112,256,534,385,336,335,527,536,318,285,281,367,231,148,93,65,65,18
Collins Place (North),10,3,3,5,2,19,57,191,474,278,218,209,243,278,253,266,271,420,227,69,29,24,21,16
Chinatown-Swanston St (North),42,28,14,5,15,10,20,36,44,66,122,291,435,496,438,422,361,465,552,529,414,288,174,123
Chinatown-Lt Bourke St (South),20,11,10,1,N/A,10,13,15,44,42,83,134,204,205,170,164,142,201,263,284,309,258,176,60
Bourke St-Russell St (West),52,34,25,16,16,34,52,65,139,135,186,256,472,557,418,443,355,470,486,424,376,225,213,107
Flinders St-Elizabeth St (East),67,37,35,35,46,119,328,592,1062,875,834,1091,1554,1356,1453,1413,1634,1925,1626,1032,895,689,456,321
Spencer St-Collins St (South),8,3,3,8,5,13,104,178,417,188,138,202,345,279,184,172,268,339,207,124,90,61,67,38
Spencer St-Collins St (North),56,33,31,14,31,143,354,547,991,611,501,538,672,664,697,807,1078,1422,821,475,329,274,249,115
Melbourne Convention Exhibition Centre,26,4,3,6,22,96,309,516,638,509,478,591,772,893,899,942,855,850,656,269,213,153,149,96
QV Market-Elizabeth St (West),61,36,46,18,26,68,126,149,295,359,457,566,860,773,587,453,301,358,342,263,214,231,157,78
QV Market-Peel St,20,9,1,N/A,3,7,19,55,102,87,123,150,210,217,171,127,131,171,106,66,79,67,44,18
The Arts Centre,47,10,24,36,60,61,178,415,632,457,377,432,556,521,449,528,619,709,448,227,203,135,91,54
St Kilda Rd-Alexandra Gardens,3,1,2,N/A,1,12,31,82,122,78,105,171,145,142,141,163,152,154,99,66,59,27,29,6
Lonsdale St (South),36,21,14,3,20,14,47,48,86,115,167,239,323,330,297,338,301,338,368,395,282,267,194,103
Lygon St (West),23,2,3,N/A,8,4,33,64,90,111,149,185,265,260,150,138,125,127,184,163,173,153,98,34
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,3,4,N/A,N/A,N/A,11,43,75,78,79,77,73,111,143,99,81,102,107,95,65,23,17,29,15
Southbank,11,7,7,2,3,33,130,299,381,280,294,362,554,557,437,394,410,574,492,293,246,184,105,56
Queen St (West),3,1,N/A,9,3,15,38,141,352,316,286,345,558,535,406,223,231,261,194,119,63,49,38,25
Lygon St (East),8,8,6,8,12,2,11,25,73,73,83,113,186,164,144,157,122,136,131,106,170,92,60,19
Alfred Place,N/A,N/A,N/A,4,N/A,5,17,44,90,103,75,95,249,229,150,68,95,76,57,35,15,18,15,17
Lonsdale St-Spring St (West),9,1,8,1,N/A,18,34,111,287,170,256,177,366,248,226,175,161,182,140,87,89,48,46,16
Grattan St-Swanston St (West),5,11,3,3,15,17,53,46,94,113,90,104,215,140,120,145,129,179,84,80,42,51,25,35
Monash Rd-Swanston St (West),5,1,N/A,3,6,11,15,36,101,116,97,101,149,151,133,146,149,202,145,114,51,57,32,31
Tin Alley-Swanston St (West),N/A,1,N/A,N/A,1,9,8,20,43,39,57,64,98,85,76,88,89,109,82,76,28,34,17,16
Little Collins St-Swanston St (East),57,13,5,13,11,30,69,145,320,350,331,464,728,862,681,689,582,612,484,372,325,259,154,70
Flinders La-Swanston St (West),110,37,27,45,44,158,373,618,1204,1176,1264,1455,1812,1922,1819,1812,1840,1988,1497,940,743,657,378,232
Pelham St (South),3,1,N/A,2,2,4,5,18,52,76,51,53,101,102,80,42,58,82,44,24,23,13,11,7
Melbourne Central-Elizabeth St (East),51,34,21,25,31,45,134,187,469,460,582,758,1083,1310,1091,1151,1010,1101,798,574,388,257,170,110
QVM-Queen St (East),20,10,2,N/A,2,20,49,79,127,219,182,305,298,378,385,215,148,192,142,112,105,79,51,30
QVM-Therry St (South),38,33,43,19,17,19,89,52,68,75,146,157,254,217,166,118,84,99,104,63,83,79,70,51
Faraday St-Lygon St (West),2,2,3,1,10,2,12,51,134,223,225,262,384,319,311,247,268,255,337,218,190,218,46,34
QVM-Franklin St (North),22,27,9,3,10,12,68,60,82,97,133,142,176,153,142,123,124,138,114,88,73,69,30,12
Elizabeth St-Lonsdale St (South),9,10,6,8,1,11,39,127,186,185,192,232,421,491,404,319,282,362,280,240,162,142,62,39
Lincoln-Swanston (W),3,6,1,2,9,3,16,24,56,53,61,69,112,97,113,93,121,112,81,95,39,40,42,17
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),17,9,10,N/A,7,9,28,76,163,170,165,246,340,411,262,278,304,374,329,226,182,121,87,43
Bourke St Bridge,8,8,N/A,4,4,32,152,304,454,238,182,205,298,319,282,280,362,465,262,167,102,82,58,38
Bourke St - Spencer St (North),27,22,47,6,7,59,178,344,793,498,365,440,473,572,447,498,689,742,443,271,207,179,124,98
RMIT Bld 80 - 445 Swanston Street,19,12,13,5,5,6,26,105,220,241,300,361,529,551,532,490,536,355,257,183,126,121,77,27
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,18,11,8,6,13,15,52,95,244,214,211,266,360,299,306,308,295,370,306,248,148,133,84,59
380 Elizabeth St,131,75,65,25,33,102,284,308,497,496,513,667,968,1101,972,1166,1120,1281,1145,899,806,606,418,278
La Trobe St (North),36,18,16,8,7,17,70,42,75,159,127,111,140,171,132,144,148,191,140,116,87,108,79,83
231 Bourke St,25,24,11,12,6,17,83,134,178,239,276,337,603,540,464,442,429,431,256,223,219,151,131,89
Royal Pde - Grattan St,6,4,2,2,2,7,48,154,317,230,194,201,222,211,185,265,241,257,154,99,57,52,15,14
