CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Wednesday 23 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),37,19,25,7,7,15,83,146,329,508,845,1120,1521,1845,1740,1484,1508,1486,1237,605,327,285,153,72
Bourke Street Mall (South),25,17,9,22,11,19,38,102,147,299,636,699,812,957,890,744,693,476,308,106,71,61,40,32
Melbourne Central,92,61,25,15,19,41,82,127,197,190,254,413,558,656,626,637,596,587,622,615,491,427,235,143
Town Hall (West),68,29,25,18,25,38,108,263,512,668,886,1218,1592,1849,1586,1532,1492,1354,1130,791,528,387,236,166
Princes Bridge,67,53,32,36,72,87,166,475,732,446,542,685,765,846,786,769,881,942,698,587,524,431,287,144
Flinders Street Station Underpass,51,16,22,20,27,109,275,478,988,562,478,544,683,753,754,789,855,1324,959,519,490,506,296,213
Birrarung Marr,6,3,7,2,8,17,72,146,205,151,88,86,98,94,93,78,127,180,127,83,53,28,27,11
Webb Bridge,3,6,14,6,5,11,54,168,218,142,104,137,189,174,164,175,187,212,111,63,44,60,22,9
Southern Cross Station,11,6,4,4,8,27,124,247,523,259,119,162,289,215,182,232,370,439,188,77,64,48,69,18
Victoria Point,9,3,4,1,N/A,8,17,53,83,96,62,74,97,73,53,57,83,93,99,60,35,24,23,18
Waterfront City,6,4,3,N/A,4,3,15,48,46,23,31,28,48,36,29,33,26,35,13,30,36,18,14,9
New Quay,20,15,8,2,4,16,46,161,184,104,102,94,144,137,131,114,134,127,120,121,129,94,59,28
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
