CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Thursday 24 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),35,44,14,18,5,18,87,137,342,602,905,1928,1729,1975,1866,1834,1990,2044,1625,1212,717,366,221,113
Bourke Street Mall (South),28,12,20,17,8,19,34,99,164,328,504,774,988,1079,997,916,721,670,437,266,207,80,51,22
Melbourne Central,149,67,59,17,69,22,68,126,169,234,269,430,725,743,797,722,727,779,784,673,576,454,382,218
Town Hall (West),97,32,20,8,22,43,130,256,494,660,936,1328,1831,1919,1784,1644,1665,1611,1398,920,674,500,350,158
Princes Bridge,83,38,25,38,53,79,221,453,701,518,597,734,890,884,888,900,971,1226,978,721,497,411,331,219
Flinders Street Station Underpass,67,20,33,36,21,118,366,545,1082,647,539,617,845,780,893,940,981,1474,1161,604,483,490,329,246
Birrarung Marr,2,3,3,N/A,15,23,53,170,246,116,138,149,163,184,130,118,192,282,170,118,38,23,17,23
Webb Bridge,5,3,2,2,N/A,12,35,149,236,177,169,180,280,233,186,185,208,272,178,101,35,27,29,8
Southern Cross Station,18,5,1,4,2,23,101,251,505,232,145,142,251,231,166,192,343,464,253,92,53,42,63,18
Victoria Point,4,3,3,4,3,9,28,39,81,59,41,50,110,84,53,48,71,79,71,78,44,37,28,19
Waterfront City,4,2,N/A,5,N/A,6,8,31,36,37,25,40,58,48,34,27,46,72,70,47,22,31,8,6
New Quay,12,4,1,6,6,10,33,96,151,124,106,155,206,172,151,164,165,274,215,140,86,78,56,16
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,36,6,14,3,7,46,122,233,392,270,214,245,236,309,290,381,304,537,349,179,133,144,114,88
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),24,8,6,8,11,21,72,148,422,486,662,829,1119,1110,979,859,748,641,394,97,67,103,105,41
Collins Place (South),17,7,8,9,9,43,128,265,559,432,318,397,542,564,307,308,290,397,239,160,120,91,84,30
Collins Place (North),7,2,3,5,1,8,55,168,418,304,297,269,270,293,252,265,295,441,230,77,57,38,47,25
Chinatown-Swanston St (North),57,56,15,18,6,5,18,35,48,91,171,223,480,496,495,443,394,569,668,690,571,460,305,134
Chinatown-Lt Bourke St (South),36,24,12,8,16,5,21,19,45,55,82,161,262,243,218,198,189,252,417,346,276,408,410,175
Bourke St-Russell St (West),78,54,45,29,8,24,27,59,117,149,204,318,617,600,435,478,443,551,685,525,411,396,295,169
Flinders St-Elizabeth St (East),144,55,36,32,48,96,359,601,1108,966,977,1112,1422,1519,1479,1633,1620,1917,1501,1108,989,817,551,415
Spencer St-Collins St (South),18,3,10,10,5,21,95,220,427,240,179,188,348,287,229,246,275,373,260,165,104,70,66,27
Spencer St-Collins St (North),60,23,12,15,12,141,378,626,1090,843,634,540,725,756,709,866,1129,1439,835,511,396,322,290,172
Melbourne Convention Exhibition Centre,45,6,15,8,32,85,267,423,643,591,634,645,870,870,1001,955,946,925,705,329,179,192,141,152
QV Market-Elizabeth St (West),67,47,27,22,50,59,136,151,274,328,402,522,790,678,607,481,349,357,356,292,203,205,196,104
QV Market-Peel St,6,3,2,4,2,4,18,65,96,67,111,164,182,152,150,129,114,154,110,92,81,67,53,30
The Arts Centre,39,28,12,31,50,54,172,407,739,421,409,502,586,548,506,530,699,865,525,386,171,275,129,85
St Kilda Rd-Alexandra Gardens,6,3,3,N/A,3,10,28,68,92,78,108,156,130,163,159,128,126,160,119,106,86,25,19,8
Lonsdale St (South),86,57,13,15,12,12,33,50,84,120,166,304,388,391,345,361,358,394,451,425,477,362,309,211
Lygon St (West),21,3,4,N/A,10,4,18,44,107,93,121,162,234,229,152,170,186,168,184,252,250,250,132,80
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,7,6,N/A,7,3,16,42,49,109,77,75,82,104,127,107,79,87,104,78,49,24,20,41,7
Southbank,41,5,5,8,8,33,139,240,352,260,390,525,651,512,405,395,430,613,509,419,270,202,144,44
Queen St (West),13,7,3,4,3,17,37,131,325,322,288,327,497,527,454,311,243,321,233,122,94,70,64,71
Lygon St (East),4,N/A,3,2,4,12,9,19,72,94,102,123,171,150,135,145,116,112,111,178,132,140,129,56
Alfred Place,11,4,4,N/A,4,8,17,32,115,98,108,91,232,267,140,91,100,137,95,74,22,35,20,11
Lonsdale St-Spring St (West),7,11,9,1,2,15,42,103,236,205,265,219,408,261,214,207,218,201,183,134,103,77,73,25
Grattan St-Swanston St (West),14,14,5,1,9,17,56,45,109,87,141,151,220,172,138,150,89,149,96,64,45,68,78,67
Monash Rd-Swanston St (West),15,7,6,N/A,2,23,25,41,84,99,104,103,162,150,133,136,117,207,184,122,77,78,72,80
