CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Friday 25 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),48,42,38,12,9,19,86,128,281,548,694,1025,1281,1342,1519,1724,1775,1841,1772,1367,1133,613,394,308
Bourke Street Mall (South),35,19,59,15,5,16,31,84,158,298,857,631,762,877,819,891,1014,810,704,565,427,222,182,125
Melbourne Central,116,74,54,42,15,30,74,97,126,169,213,130,221,241,467,621,718,800,833,794,802,770,602,500
Town Hall (West),88,42,52,22,22,54,120,247,418,646,929,1188,1491,1579,1550,1686,1733,1779,1729,1431,1100,959,825,488
Princes Bridge,129,50,32,37,63,81,227,402,620,542,574,695,661,688,797,954,1006,1357,1385,900,933,995,836,613
Flinders Street Station Underpass,71,32,27,14,21,118,323,511,943,624,546,491,676,596,684,900,1041,1509,1165,874,699,786,690,581
Birrarung Marr,11,6,12,5,9,18,53,104,131,109,83,50,62,61,49,66,97,177,398,470,71,83,681,36
Webb Bridge,7,5,N/A,3,1,13,40,130,152,130,112,126,110,123,150,150,220,254,149,98,57,75,30,33
Southern Cross Station,6,10,5,4,8,29,107,267,460,241,161,157,251,206,192,255,317,406,231,113,60,70,76,26
Victoria Point,N/A,3,3,1,6,5,26,65,84,56,50,54,77,52,65,57,65,119,119,104,51,79,36,19
Waterfront City,N/A,2,6,1,8,6,4,6,16,11,18,4,10,7,7,15,19,33,40,14,21,16,28,11
New Quay,4,2,8,8,9,7,37,68,95,79,64,30,54,51,46,100,125,192,163,116,134,118,87,79
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,43,17,N/A,2,8,56,119,204,309,254,160,102,162,149,229,328,350,482,403,214,212,199,215,189
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),11,7,9,15,3,24,73,128,316,455,627,636,842,874,812,799,734,526,492,280,272,250,222,119
Collins Place (South),11,13,14,25,9,33,111,222,540,392,263,281,471,329,315,303,327,383,309,225,239,123,121,72
Collins Place (North),7,2,N/A,3,5,13,30,152,442,259,197,196,230,183,177,217,267,335,227,94,55,30,72,62
