CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Saturday 26 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),131,104,63,37,5,24,38,65,185,486,895,1616,2258,2617,2925,3024,2958,2316,1666,1291,705,530,453,294
Bourke Street Mall (South),87,114,32,41,9,11,14,31,86,257,511,964,1171,1367,1672,1714,1498,1087,627,357,251,222,205,156
Melbourne Central,338,208,106,62,18,10,23,38,75,143,247,468,793,938,987,1046,1042,1067,1131,1211,1123,1061,822,827
Town Hall (West),369,188,129,83,55,39,84,92,242,522,997,1508,2031,2325,2479,2498,2275,2082,1738,1467,1215,887,964,538
Princes Bridge,319,160,115,92,63,73,91,107,254,505,752,1170,1438,1674,1783,1867,1782,1677,1399,1291,1215,1122,1046,634
Flinders Street Station Underpass,358,197,146,84,62,92,95,190,275,520,684,848,1000,1044,1153,1207,1203,1172,1061,893,779,792,807,592
Birrarung Marr,11,15,9,1,4,8,23,101,101,113,189,209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,17,8,8,3,1,1,19,48,96,190,233,263,284,287,240,313,388,267,189,103,103,74,74,47
Southern Cross Station,32,16,8,5,4,7,21,61,37,66,67,87,96,94,72,95,111,101,100,63,34,55,42,25
Victoria Point,9,10,10,1,8,6,18,14,29,51,74,127,93,86,46,61,148,103,77,69,70,63,38,42
Waterfront City,9,5,5,N/A,N/A,N/A,4,5,22,28,28,40,48,42,79,77,77,76,88,75,57,71,29,21
New Quay,34,9,14,5,2,4,12,32,70,124,169,224,308,449,263,306,515,338,295,323,263,195,149,73
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,135,70,34,20,18,19,35,68,143,256,305,357,370,437,423,410,463,498,421,295,244,225,288,198
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),61,51,37,8,10,21,62,49,168,305,522,860,944,1069,1150,1144,919,470,379,331,267,213,226,178
Collins Place (South),37,26,27,15,9,15,41,48,92,140,161,215,242,290,211,288,199,279,261,245,258,89,138,103
Collins Place (North),26,10,8,4,2,9,8,22,29,49,88,104,107,126,153,137,93,113,80,69,60,41,45,28
Chinatown-Swanston St (North),256,192,70,51,21,15,12,15,36,95,202,428,722,779,933,827,750,798,1038,1209,1112,869,793,509
Chinatown-Lt Bourke St (South),237,228,99,59,14,11,10,13,27,38,130,249,390,425,374,423,411,512,722,880,818,752,962,479
Bourke St-Russell St (West),431,319,298,147,65,30,43,29,76,113,244,461,615,723,827,832,712,810,905,906,971,862,887,612
Flinders St-Elizabeth St (East),369,234,146,102,72,76,145,232,426,717,967,1265,1459,1742,1834,1855,1857,1870,1583,1240,1065,1075,1030,810
Spencer St-Collins St (South),45,47,16,24,4,28,31,57,87,87,107,149,185,174,188,183,225,245,170,143,132,103,121,78
Spencer St-Collins St (North),177,139,66,72,49,81,192,262,371,462,593,559,754,821,651,711,934,822,656,508,446,402,415,335
Melbourne Convention Exhibition Centre,132,43,49,21,64,94,125,170,323,605,865,1030,1214,1412,1635,1515,1453,1167,952,543,504,505,429,419
