CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Sunday 27 June 2021
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),190,111,67,63,26,20,9,55,94,329,712,1407,2045,2409,2669,2626,2405,1793,1290,721,385,239,201,70
Bourke Street Mall (South),103,94,43,36,15,13,13,27,59,199,400,818,1125,1321,1450,1466,1223,761,395,269,176,103,73,44
Melbourne Central,556,461,244,159,90,54,56,56,82,170,304,435,717,847,972,1073,1012,936,845,756,592,479,330,107
Town Hall (West),397,299,192,123,55,53,98,107,204,509,880,1433,1915,2235,2399,2448,2222,1723,1382,1030,837,587,417,193
Princes Bridge,359,281,209,150,76,60,119,224,418,858,1298,1988,2448,2641,2948,2954,2644,1977,1444,1064,842,588,464,255
Flinders Street Station Underpass,409,316,184,89,86,48,77,141,208,379,643,848,1093,1168,1249,1311,1299,1109,859,713,639,506,414,243
Birrarung Marr,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,17,16,2,3,N/A,1,10,52,90,166,233,316,378,304,360,500,373,280,153,113,64,53,39,23
Southern Cross Station,22,11,10,16,4,9,18,17,28,57,39,64,78,85,103,107,69,71,63,46,44,40,29,23
Victoria Point,11,10,5,9,N/A,5,3,5,16,27,47,82,88,92,104,152,105,76,117,91,49,32,14,28
Waterfront City,6,7,4,N/A,N/A,1,2,8,33,50,82,92,87,106,114,188,107,82,88,84,54,41,33,19
New Quay,31,22,9,6,2,8,10,28,104,188,220,304,316,377,481,876,481,286,413,359,229,157,132,71
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,153,106,68,24,27,26,44,62,122,180,328,368,443,440,449,492,506,335,294,230,149,172,131,106
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),81,65,36,32,16,18,64,33,57,147,353,677,643,893,980,911,547,334,224,160,109,96,83,39
